row_index,relative_bag_time_s,model,baseline.right_hip_target_rad,baseline.left_hip_target_rad,freeze_current_hip.right_hip_target_rad,freeze_current_hip.left_hip_target_rad,freeze_all_history_hip.right_hip_target_rad,freeze_all_history_hip.left_hip_target_rad,zero_velocity_code.right_hip_target_rad,zero_velocity_code.left_hip_target_rad,full_model_current_q.dtarget0_dinput0,full_model_current_q.dtarget0_dinput1,full_model_current_q.dtarget1_dinput0,full_model_current_q.dtarget1_dinput1,full_model_current_dq.dtarget0_dinput0,full_model_current_dq.dtarget0_dinput1,full_model_current_dq.dtarget1_dinput0,full_model_current_dq.dtarget1_dinput1,actor_direct_q.dtarget0_dinput0,actor_direct_q.dtarget0_dinput1,actor_direct_q.dtarget1_dinput0,actor_direct_q.dtarget1_dinput1,actor_direct_dq.dtarget0_dinput0,actor_direct_dq.dtarget0_dinput1,actor_direct_dq.dtarget1_dinput0,actor_direct_dq.dtarget1_dinput1,recorded.right_hip_target_rad,recorded.left_hip_target_rad
3206,0.11999422899999956,new,0.13587026298046112,-0.1296858936548233,0.09197781,-0.093124315,0.087233216,-0.091087446,0.12196107,-0.1237002,-3.556855,2.828568,3.2887383,-2.352096,-0.008935481,0.0026375055,0.0054851174,-0.0012204051,-3.048405,3.2124443,3.037937,-2.5241225,-0.007212162,0.0033669174,0.0046163797,-0.0016450882,0.21711896359920502,-0.18109281361103058
3207,0.13999287800000104,new,0.16341029107570648,-0.15525077283382416,0.14649336,-0.13776976,0.13986164,-0.13501199,0.14625087,-0.14796354,-3.093764,2.6295407,2.8927324,-2.2372677,-0.01335144,0.009118021,0.009591132,-0.007452816,-2.6804206,2.9065533,2.7380211,-2.311997,-0.012123585,0.009770691,0.009194016,-0.007776916,0.242758110165596,-0.21478402614593506
3208,0.16004231499999833,new,-0.017846032977104187,-0.009472904726862907,0.1450813,-0.14136457,0.14497805,-0.14062227,-0.024823902,-0.004031591,-1.7896816,1.5796617,1.4018165,-1.475037,-0.052319467,0.05125897,0.043142866,-0.045772735,-1.4752251,1.6955788,1.4697657,-1.2833624,-0.05196957,0.051905587,0.043717213,-0.045674387,-0.04303686320781708,0.032644372433423996
3209,0.18003065899999626,new,-0.12526659667491913,0.02366790920495987,0.057242304,-0.06240157,0.060439035,-0.059021898,-0.08807381,0.040916204,-7.4790115,3.106553,0.82217526,-2.6126857,-0.017178804,-0.0054888427,-0.0032853335,-0.00669444,-5.6299005,4.8755407,1.5974827,-1.8144361,-0.013710558,-0.0006429851,-0.0016883016,-0.004701782,-0.1417541205883026,0.1318233162164688
3210,0.20004038100000798,new,-0.0012970007956027985,-0.003333060070872307,0.006285973,-0.019914744,0.0076931696,-0.015961578,0.0016882457,-0.004355494,-2.1321023,2.9326766,1.5486375,-2.2801661,-0.02657189,0.030124746,0.019685552,-0.02560746,-2.2450569,3.0300121,1.9504697,-2.0944307,-0.0264748,0.029830262,0.020330586,-0.024788827,-0.016936665400862694,0.04836641997098923
3211,0.2199939690000008,new,0.30821579694747925,-0.28891927003860474,0.06046596,-0.06979166,0.04474558,-0.060996495,0.2844126,-0.27290082,-2.702996,1.0960698,2.9852538,-1.1327267,-0.0293985,0.017759204,0.024615228,-0.0146359205,-1.8510519,1.797214,2.3376644,-1.5978216,-0.02580434,0.018808246,0.021979213,-0.01552254,0.3890201449394226,-0.3419416844844818
3212,0.24001380400000016,new,0.3452572822570801,-0.3277612030506134,0.20183201,-0.18615322,0.18376346,-0.17636743,0.3242836,-0.31901163,-1.8529295,1.6283541,2.1059065,-1.5821903,-0.049473345,0.048282743,0.044746697,-0.044485927,-1.6168504,1.7786919,2.0463169,-1.5578269,-0.048561394,0.048559904,0.044712424,-0.044597685,0.266854465007782,-0.2604875862598419
3213,0.2600210300000043,new,-0.49613475799560547,0.43229350447654724,0.17262958,-0.15128164,0.17161219,-0.15223041,-0.53237104,0.47452837,-4.8764195,4.680246,4.825219,-6.265476,-0.080133975,0.078615546,0.06976873,-0.07832348,-4.486635,4.7328916,5.2860527,-5.5072303,-0.07985979,0.07953644,0.07122606,-0.07698834,-0.5229329466819763,0.5236502885818481
3214,0.28002003000000286,new,-0.37621989846229553,0.31266993284225464,-0.079870075,0.09600334,-0.080612704,0.09622043,-0.40671816,0.32698464,-0.3367513,-0.8397698,-0.17681716,-0.45539436,-0.03632456,0.03234297,0.014258921,-0.02156049,0.06723404,-0.12654066,0.2310872,-0.23162363,-0.03735423,0.034700334,0.01462549,-0.020612776,-0.5232478976249695,0.4870936870574951
3215,0.29999090100000103,new,0.7911970019340515,-0.7559302449226379,-0.08353658,0.08179192,-0.077527404,0.084182896,0.7320439,-0.7322307,-1.6649364,2.266556,1.9111334,-2.0567179,-0.038579106,0.039240718,0.036937,-0.03813505,-1.8227993,2.3109615,2.106756,-1.9459127,-0.038143992,0.03886521,0.037151575,-0.03774166,0.9968380331993103,-0.9235549569129944
