run,case,window,joint,first_order_sum,second_order_sum,first_order_share_percent,second_order_share_percent,combined_share_percent,combined_reward_magnitude
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,right_thigh_joint,17.19504744714126,47.89833954964608,1.5683672085980178,4.869638547092266,2.3994287918025994,0.14062769911303416
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,left_thigh_joint,19.537258710004767,56.45285539701096,1.7820012419774836,5.739343019391608,2.7782219053536354,0.1628283179355355
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,right_shank_joint,10.251198632856838,26.92478872505531,0.9350159593348759,2.7373389199002696,1.3887324883544594,0.0813919776190103
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,left_shank_joint,8.701966233605592,21.89943690872722,0.7937098477377693,2.2264308769998093,1.1543828384686958,0.0676570202975132
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,right_foot_joint,2.375125916232455,5.398461465748694,0.21663619218041827,0.5488406549323963,0.3002652969871171,0.01759819586355286
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,left_foot_joint,1.618800940609922,3.2813880756554767,0.14765148629597566,0.33360600829635423,0.19446365155354983,0.011397285875922902
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,right_wheel_joint,522.1919589459217,368.71362810315907,47.6293390595154,37.48568558182207,45.07577715736181,2.641838277938425
2026-09-21_20-20-10,right-delay30-noise,stopped_72_90s,left_wheel_joint,483.5912194296627,384.24978342339523,44.10855004913095,39.065186281269455,42.83893436237334,2.5107395528537437
2026-09-21_20-20-10,left-delay30-noise,whole,right_hip_joint,77.02746364189184,185.17107544537146,1.8095562515426349,3.9445276010408934,2.434174226471657,0.5858664677356246
2026-09-21_20-20-10,left-delay30-noise,whole,left_hip_joint,75.04979499144575,174.6188930955662,1.763096164442632,3.7197442517520725,2.3355429873150735,0.5621275196091322
2026-09-21_20-20-10,left-delay30-noise,whole,right_thigh_joint,101.11392913966804,269.6781410398979,2.3754039655696944,5.744703205782812,3.3611431272902474,0.8089729281185192
2026-09-21_20-20-10,left-delay30-noise,whole,left_thigh_joint,110.52452586684407,311.54832348391636,2.59648101177204,6.636624851287176,3.7784858494730096,0.9094205886932508
2026-09-21_20-20-10,left-delay30-noise,whole,right_shank_joint,63.2387868142306,163.96267925569973,1.4856278086953294,3.4927448161606978,2.072840073133092,0.49889916614047203
2026-09-21_20-20-10,left-delay30-noise,whole,left_shank_joint,46.47626616831555,119.79692472165627,1.0918367815436651,2.5519227284706196,1.5190068827284735,0.36560045175574657
2026-09-21_20-20-10,left-delay30-noise,whole,right_foot_joint,12.930233171194917,26.835495772325586,0.3037615827209268,0.5716516659362546,0.38213685521385715,0.09197417634326804
2026-09-21_20-20-10,left-delay30-noise,whole,left_foot_joint,7.952528812330827,15.665683420716427,0.18682360222620376,0.33371151781431885,0.22979787089625198,0.05530864038039795
2026-09-21_20-20-10,left-delay30-noise,whole,right_wheel_joint,1989.3507349426313,1809.8417063229422,46.73452673532636,38.553378528127126,44.341008795623836,10.67216549925494
2026-09-21_20-20-10,left-delay30-noise,whole,left_wheel_joint,1773.0403056642824,1617.2600797971704,41.65288609616052,34.450990833628026,39.545863331854505,9.518051342352885
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,right_hip_joint,4.401215761450639,13.110751834111873,1.814675056475226,8.23709537458003,3.0830771030321067,0.03727099079697037
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,left_hip_joint,6.156811757850914,18.896553591666404,2.5385287452262864,11.872142509816863,4.381879727317049,0.052972077418903266
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,right_thigh_joint,3.76906178778367,7.600882844790791,1.5540302460315218,4.77540858950993,2.190239444623459,0.02647757141832087
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,left_thigh_joint,3.845666639417481,8.679692980036029,1.5856153627355127,5.453192906345073,2.3494462907273777,0.028402206027723968
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,right_shank_joint,1.7468905688603036,3.69894888812213,0.7202643345659945,2.323939554548261,1.0369837067478371,0.012535985607624412
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,left_shank_joint,2.0181957981488927,4.017051501843714,0.8321267968868654,2.523793964217618,1.166224222912789,0.014098360445361143
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,right_foot_joint,0.41611600450679925,0.8294213684177119,0.17156971503022514,0.5211007731528904,0.24060068583233668,0.0029085960706537652
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,left_foot_joint,0.5378182747726448,0.5639580334386203,0.221749048682126,0.3543180564678263,0.2479308917345622,0.00299721014924851
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,right_wheel_joint,116.32331225698891,54.663695805676085,47.96152351543926,34.34357400518104,45.27203354543106,0.5472887927364698
2026-09-21_20-20-10,left-delay30-noise,startup_0_2s,left_wheel_joint,103.31955919896937,47.10621601931449,42.59991717892697,29.595434266180476,40.03158438164143,0.4839375608248493
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,right_hip_joint,6.611528721159676,14.818674432340057,1.6329402888497366,3.1514353646680475,2.093628439158062,0.048674126533148794
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,left_hip_joint,5.581102399035627,11.394330194333076,1.3784417111301075,2.4231921212035017,1.6954029852331558,0.03941590488764213
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,right_thigh_joint,8.13098363042129,24.408001653897962,2.0082209906461297,5.190763853013778,2.973755754564286,0.06913593700253211
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,left_thigh_joint,8.941256877339768,26.984472025114034,2.208345331879906,5.73869274374841,3.279398669503033,0.07624173554703012
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,right_shank_joint,3.8233081987010618,10.45895923538695,0.9442950726913582,2.224270069668775,1.332619884005389,0.030981671647884675
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,left_shank_joint,4.459908940374591,12.12641694366189,1.1015251238387413,2.5788824349608963,1.5497327063615716,0.0360292611769912
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,right_foot_joint,1.0484503555441465,2.6129330654140173,0.2589502214438795,0.5556832836468418,0.34897448806057574,0.008113201020297611
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,left_foot_joint,0.7497764296588338,1.5168519402302219,0.18518260923550348,0.32258356637989793,0.22686795534262402,0.005274383628980668
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,right_wheel_joint,198.0020162139984,190.23884614451555,48.90328442717629,40.45742621654974,46.3409403940729,1.0773663340727668
2026-09-21_20-20-10,left-delay30-noise,standing_2_10s,left_wheel_joint,167.53657225049085,175.6603576301121,41.37881422310834,37.35707034616012,40.1586787236984,0.9336368254471316
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,right_hip_joint,1.7815813805597536,4.668421165391855,1.2401972679482804,3.7107512302750485,1.8509771806491968,0.014128957270326797
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,left_hip_joint,1.620948456832494,3.8942026238015437,1.128377221262285,3.0953542247508357,1.614660889134076,0.012325097763032292
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,right_thigh_joint,1.632972266739449,4.495037515472642,1.1367472549636082,3.5729351315440994,1.739031050934407,0.01327444534016676
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,left_thigh_joint,2.2154862280720895,6.205055339152963,1.5422478014272731,4.932163555503442,2.380315894620475,0.018169527921017805
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,right_shank_joint,1.8325668713076042,4.308688981047315,1.2756893689662085,3.4248137369910663,1.8070042132893773,0.01379330095680139
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,left_shank_joint,1.7720971472927933,4.1318416797123785,1.2335950883820723,3.2842445128892916,1.740564576027306,0.01328615110873974
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,right_foot_joint,0.23209199216290077,0.48832267033258825,0.1615642472097834,0.38814920194882424,0.2175814567041729,0.0016608519741504856
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,left_foot_joint,0.1478459635561839,0.3326581066661464,0.10291876760743378,0.2644173340064869,0.14284506826335533,0.0010903710142239553
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,right_wheel_joint,58.15086559747416,40.21147563129504,40.48007316968941,31.962579506786742,38.374345419885984,0.29292067583683923
2026-09-21_20-20-10,left-delay30-noise,drive_onset_10_12s,left_wheel_joint,74.266608540106,57.072276280597,51.69858981254364,45.36459156530416,50.13267425049166,0.3826748485813195
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,right_hip_joint,24.848560887519536,58.79465678450113,2.4059121595229533,4.316505654510867,3.0381368990760906,0.18758622872682984
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,left_hip_joint,22.14810737474238,50.91971390945439,2.1444461546292755,3.7383538749421823,2.671878021214238,0.1649720003631511
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,right_thigh_joint,32.293290898142956,87.00904334043264,3.126733237975046,6.387910876819064,4.205872881632065,0.2596867286032208
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,left_thigh_joint,33.60058405223789,94.16112818430595,3.2533092803356265,6.912992854647001,4.464316488664126,0.27564402848541053
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,right_shank_joint,20.759553274110694,54.45923715958199,2.0100021838098967,3.9982137492747767,2.667911122812393,0.16472706883581573
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,left_shank_joint,15.037497033521529,39.54721305590851,1.4559755442380984,2.9034231699261284,1.9349430486120267,0.11947080771794888
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,right_foot_joint,3.582567574066034,7.445555736367429,0.34687493282909915,0.5466276222140978,0.412974075505322,0.025498603900815278
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,left_foot_joint,2.339575638195942,4.825569797577748,0.22652472718798067,0.35427707986845663,0.26879860601809025,0.016596657249150392
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,right_wheel_joint,438.4965661816709,498.25896364686423,42.456552122317106,36.58049475270293,40.51213597631367,2.50137471019698
2026-09-21_20-20-10,left-delay30-noise,straight_12_40s,left_wheel_joint,439.7061706902539,466.66810557416466,42.573669657154916,34.261200365094496,39.823032880151956,2.458826841122263
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,right_hip_joint,1.5099519547130917,3.5761874705165297,2.102174607385955,3.9129968642815967,2.6871010587913786,0.011404089024627162
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,left_hip_joint,1.5884455411909553,3.4659297975363366,2.21145439196544,3.7923549985540808,2.7221122316928126,0.011552676861068326
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,right_thigh_joint,2.5043589277248763,6.143618385493726,3.486600834689398,6.722231336017595,4.531764632513275,0.019232863289140093
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,left_thigh_joint,2.5373087537682357,6.94998241302873,3.5324740079449644,7.604539642622734,4.847820609474674,0.02057420863461604
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,right_shank_joint,1.5980325130604291,4.102115186900064,2.224801497986148,4.488457049748415,2.956000821417479,0.012545302832591814
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,left_shank_joint,0.869554020292042,2.1853700915816088,1.2106043344641615,2.3911907264801475,1.591953860200215,0.006756271218540582
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,right_foot_joint,0.2605271511942183,0.5580863470630749,0.3627092637388927,0.6106475524731833,0.44279755669234055,0.0018792381253714859
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,left_foot_joint,0.15626385236764884,0.26648224781085716,0.21755255289695408,0.29157984827903494,0.2414646309764522,0.001024778781186881
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,right_wheel_joint,41.249228357251695,39.39120204997221,57.42770831629254,43.10111015504482,52.799972937373454,0.2240837165039651
2026-09-21_20-20-10,left-delay30-noise,turn_onset_40_42s,left_wheel_joint,19.55442300815315,24.75357230014089,27.223920192635536,27.084891826498385,27.17901166086793,0.11534805048282394
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,right_hip_joint,20.709589276180143,50.641801625452075,1.9930483810514779,3.7396967448991782,2.566432996856396,0.1588010595428987
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,left_hip_joint,21.846684047258577,52.26513490194915,2.1024800487865125,3.85957348654637,2.679293542902679,0.16578443854195804
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,right_thigh_joint,33.76901883625266,87.61800937557081,3.2498610872356344,6.470243434066269,4.307038784190459,0.26650308940836687
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,left_thigh_joint,37.00232692471955,105.208588086113,3.561028023731643,7.7692380952602615,4.942486916679267,0.3058221898280477
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,right_shank_joint,22.279708421453115,57.26322527671525,2.1441534261014796,4.228662691615855,2.8284500304367586,0.17501367160088535
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,left_shank_joint,12.44486974587143,32.61869662662385,1.1976687305881952,2.4087617281003495,1.5952427972725662,0.0987075239234215
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,right_foot_joint,4.624354581388222,8.867903453046893,0.44503839689590236,0.6548595945048707,0.5139178859040496,0.03179927350512323
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,left_foot_joint,2.1282701541517093,4.359441666597961,0.20482035295847395,0.3219275240389655,0.24326395253341584,0.015052243116503779
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,right_wheel_joint,518.2184002892375,577.2901882868671,49.872275589526154,42.63059703060788,47.49499853466377,2.938808883587251
2026-09-21_20-20-10,left-delay30-noise,turn_42_70s,left_wheel_joint,366.06792438468,378.0356794447475,35.22962596312453,27.916439670359992,32.82887455856064,2.031325216705841
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,right_hip_joint,1.1996485286886074,2.956266776271418,0.5020416628781988,2.166111055065862,0.7955822023470317,0.009232994279161558
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,left_hip_joint,1.4952688097422264,3.587057564747626,0.6257559791395769,2.62830307079299,0.9790037201024093,0.011361661586090347
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,right_thigh_joint,1.801387000864997,4.324826323932938,0.7538635723498494,3.168879813792183,1.1798705487818937,0.013692787489359395
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,left_thigh_joint,2.3978140195154323,5.706522310793255,1.0034626883143172,4.181273883197875,1.5640260980227867,0.018151039544251613
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,right_shank_joint,1.3759187724187774,3.4255525822814077,0.5758091073937837,2.509965398842583,0.916992764682572,0.01064200396309722
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,left_shank_joint,1.3193513631018672,3.17077622911214,0.5521361768987013,2.323286077612527,0.8645656343338963,0.010033569796075678
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,right_foot_joint,0.37486046369036596,0.6239476068621088,0.15687558983974204,0.4571778906606417,0.20984868086619937,0.002435363265054627
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,left_foot_joint,0.2766424345700934,0.4975185952681135,0.11577226542016092,0.3645410278805487,0.1596548805793856,0.0018528476311825436
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,right_wheel_joint,97.1147509603094,49.738502444429315,40.64161285256857,36.44431580805584,39.90121293623007,0.4630667575078816
2026-09-21_20-20-10,left-delay30-noise,stop_onset_70_72s,left_wheel_joint,131.59833644858594,62.4471094578025,55.072670105197105,45.75614597409895,53.429242534053756,0.6200640099810475
2026-09-21_20-20-10,left-delay30-noise,stopped_72_90s,right_hip_joint,15.965387131624642,36.60431535679284,1.4742547924920963,3.6786203854652086,2.0391571230852406,0.11876802156168782
2026-09-21_20-20-10,left-delay30-noise,stopped_72_90s,left_hip_joint,14.612426604795882,30.19597051208419,1.3493214899491872,3.0346015654694023,1.7812002333837258,0.10374366218730982
2026-09-21_20-20-10,left-delay30-noise,stopped_72_90s,right_thigh_joint,17.212855791738388,48.07872160030677,1.589446903744662,4.831762694153862,2.4203398156825457,0.14096950556741372
2026-09-21_20-20-10,left-delay30-noise,stopped_72_90s,left_thigh_joint,19.98408237177283,57.65288214536979,1.8453438659050476,5.793936192319007,2.857230920785539,0.16641565270514602
2026-09-21_20-20-10,left-delay30-noise,stopped_72_90s,right_shank_joint,9.822808194320146,26.245951945664128,0.907044842496938,2.6376369267440287,1.3505354798093632,0.07866016069577678
